Gameweek,Deadline,TransferDay,Date
GW0,2019-08-09,2019-08-03,2019-08-05
GW1,2019-08-09,2019-08-08,2019-08-03
GW2,2019-08-17,2019-08-16,2019-08-10
GW3,2019-08-23,2019-08-22,2019-08-18
GW4,2019-08-31,2019-08-30,2019-08-24
GW5,2019-09-14,2019-09-13,2019-09-01
GW6,2019-09-20,2019-09-19,2019-09-15
GW7,2019-09-28,2019-09-27,2019-09-21
GW8,2019-10-05,2019-10-04,2019-09-29
GW9,2019-10-19,2019-10-18,2019-10-06
GW10,2019-10-25,2019-10-24,2019-10-20
GW11,2019-11-02,2019-11-01,2019-10-26
GW12,2019-11-09,2019-11-08,2019-11-03
GW13,2019-11-23,2019-11-22,2019-11-10
GW14,2019-11-30,2019-11-29,2019-11-24
GW15,2019-12-03,2019-12-02,2019-12-01
GW16,2019-12-07,2019-12-06,2019-12-04
GW17,2019-12-14,2019-12-13,2019-12-08
GW18,2019-12-21,2019-12-20,2019-12-15
GW19,2019-12-26,2019-12-25,2019-12-22
GW20,2019-12-28,2019-12-27,2019-12-27
GW21,2020-01-01,2019-12-31,2019-12-29
GW22,2020-01-11,2020-01-10,2020-01-02
GW23,2020-01-18,2020-01-17,2020-01-12
GW24,2020-01-21,2020-01-20,2020-01-19
GW25,2020-02-01,2020-01-31,2020-01-22
GW26,2020-02-08,2020-02-07,2020-02-02
GW27,2020-02-22,2020-02-21,2020-02-09
GW28,2020-02-29,2020-02-28,2020-02-23
GW29,2020-03-07,2020-03-06,2020-03-01
GW30,2020-03-14,2020-03-13,2020-03-08
GW31,2020-03-21,2020-03-20,2020-03-15
GW32,2020-04-04,2020-04-03,2020-03-22
GW33,2020-04-11,2020-04-10,2020-04-05
GW34,2020-04-18,2020-04-17,2020-04-12
GW35,2020-04-25,2020-04-24,2020-04-19
GW36,2020-05-02,2020-05-01,2020-04-26
GW37,2020-05-09,2020-05-08,2020-05-03
GW38,2020-05-17,2020-05-16,2020-05-10
