Name,Other,Team,Points,Count,Type,value,GW0.5,GW0,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW20,GW21,GW22,GW23,GW24,GW25,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38,gw0.5
Robertson,Robbo,Liverpool,213,302,Defend,70.0,302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267
Digne,,Everton,158,183,Defend,60.0,183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166
Zinchenko,,Man City,44,284,Defend,55.0,284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215
Kelly,,Crystal Palace,26,129,Defend,40.0,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
Lundstram,,Sheffield Utd,0,128,Defend,40.0,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125
Wilson,,Bournemouth,168,215,Forward,80.0,215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162
King,,Bournemouth,141,291,Forward,65.0,291.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255
Greenwood,,Man Utd,4,315,Forward,45.0,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260
Pope,,Burnley,0,208,Goalkeeper,45.0,208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188
Button,,Brighton,15,245,Goalkeeper,40.0,245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208
Salah,,Liverpool,259,420,Midfield,125.0,420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351
Sterling,,Man City,234,322,Midfield,120.0,322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302
Perez,,Leicester,141,212,Midfield,65.0,212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217
Barkley,,Chelsea,79,290,Midfield,60.0,290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216
Dendoncker,,Wolves,48,186,Midfield,45.0,186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181
